,Cusine,Total No Of Restaurents,Average Score
0,Afghan,9,17.42773281468934
1,African,4,17.752254102368518
2,American,1024,13.364510792445115
3,Armenian,7,20.135938765726
4,Asian,132,16.6911561296187
5,Australian,1,16.838709677419356
6,Bagels/Pretzels,45,14.032180058848262
7,Bakery,207,15.308354734903833
8,Bangladeshi,18,17.539752159539695
9,Barbecue,4,12.20314091680815
10,"Bottled beverages, including water, sodas, juices, etc.",32,14.181750823235722
11,Brazilian,13,13.761212588971784
12,Café/Coffee/Tea,228,12.004467777695304
13,Cajun,3,14.111965811965812
14,Caribbean,199,16.382468944626112
15,Chicken,101,15.900714778048126
16,Chilean,2,27.50326797385621
17,Chinese,757,16.221760536623005
18,Chinese/Cuban,3,17.084967320261438
19,Chinese/Japanese,16,15.568276605976033
20,Continental,18,17.842519034959142
21,Creole,6,21.46083571083571
22,Creole/Cajun,1,17.5
23,Czech,2,8.0
24,Delicatessen,93,14.086649320213422
25,Donuts,153,11.21038869042015
26,Eastern European,16,18.050380596067768
27,Egyptian,3,10.819047619047618
28,English,1,12.0
29,Filipino,22,18.577164097854105
30,French,20,13.787961232395057
31,Fruits/Vegetables,1,10.875
32,German,8,13.796268978605935
33,Greek,60,14.765020890287241
34,Hamburgers,100,12.719036598770346
35,Hawaiian,1,12.0
36,Hotdogs,1,13.181818181818182
37,Hotdogs/Pretzels,2,12.321428571428571
38,"Ice Cream, Gelato, Yogurt, Ices",82,11.507861969563944
39,Indian,104,16.880172479926667
40,Indonesian,3,11.488095238095239
41,Iranian,1,40.0
42,Irish,46,12.964730537102412
43,Italian,130,15.051021999295637
44,Japanese,138,14.793738476401256
45,Jewish/Kosher,63,17.032048003271658
46,"Juice, Smoothies, Fruit Salads",68,12.747457590569047
47,Korean,174,16.9265683550947
48,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",322,16.631111473236587
49,Mediterranean,31,14.743449074646128
50,Mexican,169,15.424685221922118
51,Middle Eastern,36,12.54813526045423
52,Moroccan,2,10.333333333333332
53,Not Listed/Not Applicable,4,7.245
54,Nuts/Confectionary,1,8.125
55,Other,158,5.073005949746456
56,Pakistani,13,19.250977745031637
57,Pancakes/Waffles,7,13.57168640183346
58,Peruvian,46,15.80161299721588
59,Pizza,282,14.591386783789632
60,Pizza/Italian,107,16.30007902518344
61,Polish,4,17.52566782810685
62,Polynesian,1,10.090909090909092
63,Portuguese,4,17.044314550042053
64,Russian,8,13.809695512820513
65,Salads,4,10.132575757575758
66,Sandwiches,96,13.006449389457252
67,Sandwiches/Salads/Mixed Buffet,52,11.617143027912258
68,Seafood,25,15.786322571872569
69,Soul Food,4,11.446924603174605
70,Soups & Sandwiches,1,13.25
71,Southwestern,1,23.434782608695652
72,Spanish,206,16.75311070523084
73,Steak,13,15.785903263268214
74,Tapas,3,11.216666666666667
75,Tex-Mex,33,13.824723296289147
76,Thai,74,15.472710879060665
77,Turkish,7,15.565079365079365
78,Vegetarian,9,16.014232064232065
79,Vietnamese/Cambodian/Malaysia,12,17.52934843521137
