,Cusine,Total No Of Restaurents,Average Score
0,American,1024,13.364510792445115
1,Asian,132,16.6911561296187
2,Caribbean,199,16.382468944626112
3,Chinese,757,16.221760536623005
4,Donuts,153,11.21038869042015
5,Indian,104,16.880172479926667
6,Italian,130,15.051021999295637
7,Japanese,138,14.793738476401256
8,Korean,174,16.9265683550947
9,Mediterranean,31,14.743449074646128
10,Mexican,169,15.424685221922118
11,Seafood,25,15.786322571872569
12,Spanish,206,16.75311070523084
13,Thai,74,15.472710879060665
14,Vegetarian,9,16.014232064232065
