,Cusine,Total No Of Restaurents,Average Score
0,African,32,19.45559748981424
1,American,442,13.44407293336487
2,Armenian,2,5.8875
3,Asian,4,13.996103896103895
4,Bagels/Pretzels,4,21.232142857142858
5,Bakery,72,14.655891154009668
6,Bangladeshi,5,8.957142857142857
7,Barbecue,2,16.557773109243698
8,"Bottled beverages, including water, sodas, juices, etc.",7,10.686111111111112
9,Café/Coffee/Tea,57,13.942603068794522
10,Caribbean,112,16.70463003750051
11,Chicken,106,12.588876347290897
12,Chinese,319,14.198909918600327
13,Chinese/Cuban,2,9.37142857142857
14,Chinese/Japanese,1,10.6
15,Creole,1,45.53333333333333
16,Creole/Cajun,1,20.72222222222222
17,Delicatessen,24,15.317174764299123
18,Donuts,70,12.409555175810153
19,Eastern European,4,15.446270396270396
20,French,1,16.047619047619047
21,Fruits/Vegetables,1,16.0
22,Greek,4,14.56534090909091
23,Hamburgers,73,12.06837522935034
24,Hawaiian,1,25.137931034482758
25,Hotdogs,1,9.75
26,Hotdogs/Pretzels,1,26.8
27,"Ice Cream, Gelato, Yogurt, Ices",21,11.111210930470893
28,Indian,9,17.02418451918452
29,Irish,14,15.998560386875605
30,Italian,49,15.820834974348852
31,Japanese,19,13.489587728208338
32,Jewish/Kosher,11,15.425909555560715
33,"Juice, Smoothies, Fruit Salads",36,12.419657546559721
34,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",179,17.043881097504947
35,Mediterranean,6,16.83263888888889
36,Mexican,101,16.239063202600136
37,Middle Eastern,5,14.776587301587302
38,Not Listed/Not Applicable,1,3.0
39,Other,50,2.342920634920635
40,Pakistani,2,16.727272727272727
41,Pancakes/Waffles,3,12.850179211469532
42,Peruvian,2,10.096153846153847
43,Pizza,191,15.22883165500283
44,Pizza/Italian,56,17.052986455994628
45,Polish,1,2.0
46,Salads,1,0.0
47,Sandwiches,45,10.817383381778727
48,Sandwiches/Salads/Mixed Buffet,21,10.045954536902453
49,Seafood,23,15.399212984496092
50,Soul Food,9,13.356661856661857
51,Soups & Sandwiches,1,10.0
52,Spanish,146,17.058954509875736
53,Steak,5,12.681567460317462
54,Tapas,1,29.48148148148148
55,Tex-Mex,10,16.584650008860535
56,Thai,6,13.074130434782608
