,Cusine,Total No Of Restaurents,Average Score
0,Afghan,1,18.657894736842106
1,African,16,14.741172725261329
2,American,1299,13.764014137172984
3,Armenian,10,10.781559829059828
4,Asian,71,15.249282936169125
5,Australian,4,17.160943223443226
6,Bagels/Pretzels,43,16.349558449609628
7,Bakery,195,15.457643385227382
8,Bangladeshi,8,21.165707510959592
9,Barbecue,19,13.89370572572531
10,"Bottled beverages, including water, sodas, juices, etc.",20,10.904729962409327
11,Brazilian,3,19.996666666666666
12,Café/Coffee/Tea,398,13.261821142615535
13,Cajun,4,11.273809523809522
14,Californian,2,3.25
15,Caribbean,325,17.05367617157238
16,Chicken,142,14.308429561060919
17,Chilean,1,7.0
18,Chinese,756,16.55260836338631
19,Chinese/Cuban,5,14.718502824858756
20,Chinese/Japanese,12,18.24063387209939
21,Continental,8,16.47848651960784
22,Creole,19,20.081784875395588
23,Creole/Cajun,2,12.772727272727273
24,Czech,1,19.714285714285715
25,Delicatessen,48,16.279321566685393
26,Donuts,118,9.014275954828808
27,Eastern European,36,15.349436429676773
28,Egyptian,3,15.546296296296296
29,English,4,17.660087719298247
30,Ethiopian,4,12.35328947368421
31,Filipino,1,0.0
32,French,55,14.201693218492109
33,Fruits/Vegetables,1,14.214285714285714
34,German,5,12.69222816399287
35,Greek,18,12.354327725769851
36,Hamburgers,82,12.037074256089666
37,Hawaiian,3,19.804761904761907
38,Hotdogs,12,10.611975308641975
39,Hotdogs/Pretzels,1,23.5
40,"Ice Cream, Gelato, Yogurt, Ices",88,11.815043248066134
41,Indian,62,18.9535677574103
42,Indonesian,2,10.093984962406015
43,Irish,12,14.276962620712618
44,Italian,182,14.147228089281061
45,Japanese,173,16.581851884685953
46,Jewish/Kosher,171,16.615733362521542
47,"Juice, Smoothies, Fruit Salads",78,11.798977645311272
48,Korean,18,19.603967156663234
49,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",164,17.20302606438426
50,Mediterranean,66,13.703155613850722
51,Mexican,240,16.202433381593966
52,Middle Eastern,69,14.1075220698595
53,Moroccan,1,10.909090909090908
54,Nuts/Confectionary,1,5.875
55,Other,210,3.2853002979501205
56,Pakistani,11,17.49829700950391
57,Pancakes/Waffles,2,13.210474308300395
58,Peruvian,10,15.756450742240215
59,Pizza,302,14.48887361100911
60,Pizza/Italian,132,16.2171436063992
61,Polish,17,17.605061455572294
62,Portuguese,1,14.212121212121213
63,Russian,62,15.028123895619764
64,Salads,4,15.6375
65,Sandwiches,70,11.72683401347289
66,Sandwiches/Salads/Mixed Buffet,35,12.868827736018138
67,Scandinavian,1,14.11111111111111
68,Seafood,36,15.995928158549122
69,Soul Food,23,18.593515648810406
70,Soups,1,6.5
71,Soups & Sandwiches,7,11.399433106575966
72,Southwestern,1,10.733333333333333
73,Spanish,122,18.113466469618
74,Steak,9,12.603276353276353
75,Tapas,9,14.194296444296445
76,Tex-Mex,44,15.314084671918039
77,Thai,64,15.338119567176655
78,Turkish,27,17.238925440400138
79,Vegetarian,31,15.178728680241178
80,Vietnamese/Cambodian/Malaysia,30,16.25502299056866
