,Cusine,Total No Of Restaurents,Average Score
0,American,1299,13.764014137172984
1,Asian,71,15.249282936169125
2,Caribbean,325,17.05367617157238
3,Chinese,756,16.55260836338631
4,Donuts,118,9.014275954828808
5,Indian,62,18.9535677574103
6,Italian,182,14.147228089281061
7,Japanese,173,16.581851884685953
8,Korean,18,19.603967156663234
9,Mediterranean,66,13.703155613850722
10,Mexican,240,16.202433381593966
11,Seafood,36,15.995928158549122
12,Spanish,122,18.113466469618
13,Thai,64,15.338119567176655
14,Vegetarian,31,15.178728680241178
