,Cusine,Total No Of Restaurents,Average Score
0,Afghan,4,13.593159065628477
1,African,20,18.53473385609377
2,American,3158,14.0586592760959
3,Armenian,16,14.633012253698395
4,Asian,158,17.030492782517115
5,Australian,12,14.072444162118074
6,Bagels/Pretzels,67,14.394473337649451
7,Bakery,240,14.022821489702755
8,Bangladeshi,7,18.541845627139743
9,Barbecue,24,14.874741811498104
10,"Bottled beverages, including water, sodas, juices, etc.",34,11.865945094978171
11,Brazilian,16,16.01203422786579
12,Café/Coffee/Tea,841,11.714103518753447
13,Californian,3,11.047619047619046
14,Caribbean,37,16.307984029354387
15,Chicken,92,13.779283959901987
16,Chilean,3,16.765243902439025
17,Chinese,504,18.848696437814947
18,Chinese/Cuban,10,17.87003328213006
19,Chinese/Japanese,23,19.43785028999659
20,Continental,31,14.06557427129059
21,Creole/Cajun,1,22.363636363636363
22,Delicatessen,121,19.378162790648936
23,Donuts,150,10.973561476268788
24,Eastern European,17,15.893418897167365
25,Egyptian,5,10.654013902139841
26,English,10,15.807374774622494
27,Ethiopian,11,18.00833604865863
28,Filipino,6,16.079008043824977
29,French,267,14.31489290465324
30,Fruits/Vegetables,3,8.761904761904761
31,German,19,15.744996747318732
32,Greek,48,15.870532795373828
33,Hamburgers,115,13.764405149813241
34,Hawaiian,11,13.219227994227994
35,Hotdogs,17,8.703526116328884
36,Hotdogs/Pretzels,15,5.084098124098124
37,"Ice Cream, Gelato, Yogurt, Ices",114,11.264329805813698
38,Indian,150,18.043745530439843
39,Indonesian,3,12.671730230553761
40,Iranian,2,15.95921052631579
41,Irish,116,14.739608033010184
42,Italian,600,15.174058597491088
43,Japanese,467,15.826585524006932
44,Jewish/Kosher,79,14.792806786895486
45,"Juice, Smoothies, Fruit Salads",135,12.266199346424086
46,Korean,93,17.84942302815841
47,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",200,17.052290871062038
48,Mediterranean,133,15.348884150588924
49,Mexican,288,15.497534581702958
50,Middle Eastern,49,14.269221033438534
51,Moroccan,11,14.384374510374274
52,Not Listed/Not Applicable,2,7.125
53,Nuts/Confectionary,4,12.138095238095238
54,Other,312,2.3101953550735996
55,Pakistani,6,19.824360801188885
56,Pancakes/Waffles,3,13.091503267973856
57,Peruvian,12,17.120238910140724
58,Pizza,336,16.1277183835506
59,Pizza/Italian,118,17.015258511107234
60,Polish,4,16.69301075268817
61,Polynesian,1,21.9
62,Portuguese,3,17.462915601023017
63,Russian,10,15.202628341800756
64,Salads,51,12.661742110995435
65,Sandwiches,187,11.559461882054627
66,Sandwiches/Salads/Mixed Buffet,141,12.089886120955073
67,Scandinavian,5,14.2086393836049
68,Seafood,92,14.703319793460347
69,Soul Food,16,18.054315232163685
70,Soups,4,6.4375
71,Soups & Sandwiches,42,11.005102562931581
72,Southwestern,3,12.452991452991453
73,Spanish,124,16.661118263954485
74,Steak,59,16.088396609800686
75,Tapas,25,12.717779762365435
76,Tex-Mex,58,14.124853131665791
77,Thai,145,16.827888944470793
78,Turkish,28,19.342141004677632
79,Vegetarian,69,13.454831543315347
80,Vietnamese/Cambodian/Malaysia,35,16.51234057322114
