,Cusine,Total No Of Restaurents,Average Score
0,American,3158,14.0586592760959
1,Asian,158,17.030492782517115
2,Caribbean,37,16.307984029354387
3,Chinese,504,18.848696437814947
4,Donuts,150,10.973561476268788
5,Indian,150,18.043745530439843
6,Italian,600,15.174058597491088
7,Japanese,467,15.826585524006932
8,Korean,93,17.84942302815841
9,Mediterranean,133,15.348884150588924
10,Mexican,288,15.497534581702958
11,Seafood,92,14.703319793460347
12,Spanish,124,16.661118263954485
13,Thai,145,16.827888944470793
14,Vegetarian,69,13.454831543315347
