,Cusine,Total No Of Restaurents,Average Score
0,African,1,12.166666666666666
1,American,227,15.107580377215282
2,Armenian,2,15.533333333333333
3,Asian,11,21.391464434994703
4,Bagels/Pretzels,12,16.836417932557637
5,Bakery,18,15.969710654314374
6,Barbecue,1,14.714285714285714
7,"Bottled beverages, including water, sodas, juices, etc.",4,9.3
8,Café/Coffee/Tea,20,11.13515289449113
9,Cajun,2,13.379999999999999
10,Caribbean,3,13.183333333333332
11,Chicken,14,12.30206939799331
12,Chinese,79,15.905323865080849
13,Chinese/Japanese,2,12.318181818181818
14,Continental,1,10.75
15,Delicatessen,17,16.50144359740785
16,Donuts,34,11.928992727956247
17,Eastern European,4,13.572727272727274
18,Egyptian,1,7.714285714285714
19,Filipino,2,18.997931034482757
20,Fruits/Vegetables,1,18.16
21,German,3,15.440494264507423
22,Greek,5,17.077777777777776
23,Hamburgers,25,11.73432235531926
24,Hotdogs,1,16.818181818181817
25,Hotdogs/Pretzels,2,14.044444444444444
26,"Ice Cream, Gelato, Yogurt, Ices",34,10.692806213394448
27,Indian,8,15.768127705627704
28,Irish,1,15.476190476190476
29,Italian,74,16.241911394478066
30,Japanese,37,17.262685680752906
31,Jewish/Kosher,5,17.92436974789916
32,"Juice, Smoothies, Fruit Salads",4,16.09722222222222
33,Korean,1,18.352941176470587
34,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",16,17.768775321821234
35,Mediterranean,9,17.40217258794845
36,Mexican,39,15.984708984501586
37,Middle Eastern,5,12.154830917874396
38,Other,41,3.368388627985659
39,Pakistani,1,6.0
40,Pancakes/Waffles,2,17.358974358974358
41,Peruvian,3,18.003898635477583
42,Pizza,53,17.42343104817561
43,Pizza/Italian,67,16.30091113774842
44,Polish,2,21.902255639097746
45,Portuguese,1,5.857142857142857
46,Russian,3,13.451678951678952
47,Salads,1,33.68055555555556
48,Sandwiches,24,10.249884583463016
49,Sandwiches/Salads/Mixed Buffet,6,20.13125
50,Seafood,4,12.628348214285715
51,Soul Food,2,20.87556561085973
52,Southwestern,2,20.919444444444444
53,Spanish,18,19.012134608363652
54,Steak,1,22.833333333333332
55,Tex-Mex,4,14.370833333333334
56,Thai,3,19.394529914529915
57,Turkish,2,14.984615384615385
58,Vietnamese/Cambodian/Malaysia,2,14.214285714285715
