,STREET,SCORE,#Hotels
0,ATLANTIC AVENUE,90.16218436203653,83
1,SURF AVENUE,87.68497367508877,15
2,BEDFORD AVE,87.61610757860119,47
3,GRAHAM AVE,87.45103596505199,25
4,FRANKLIN STREET,87.4306391636816,16
5,MYRTLE AVE,87.11425078248914,55
6,3RD AVE,86.45013645049356,78
7,DRIGGS AVENUE,86.15702403959989,15
8,METROPOLITAN AVE,86.14173388808113,17
9,FRANKLIN AVE,85.92922691651911,36
10,CHURCH AVE,85.87757533507236,51
11,MALCOLM X BLVD,85.84851074921283,15
12,ROCKAWAY PARKWAY,85.59534472699556,17
13,BUSHWICK AVE,85.56630190071367,15
14,COURT STREET,85.534507047224,64
15,WASHINGTON AVE,85.52415823650034,26
16,FRANKLIN AVENUE,85.49696216725653,26
17,KINGS HIGHWAY,85.23035378612846,41
18,FLUSHING AVE,85.22369223340586,26
19,GRAND ST,85.20637227573317,45
20,GRAHAM AVENUE,85.10168338775058,31
21,CONEY ISLAND AVE,85.08338434470133,67
22,20TH AVE,84.98474620617478,15
23,BRIGHTON BEACH AVE,84.92849261533338,18
24,KINGS HWY,84.92814837876337,23
25,HENRY STREET,84.88700959970082,20
26,AVENUE N,84.84805923567261,26
27,ROGERS AVE,84.79638635596082,18
28,FULTON STREET,84.63768400511063,86
29,FLATBUSH AVENUE,84.5007613807683,102
30,BROADWAY,84.48401268840172,103
31,AVENUE L,84.41016652707715,15
32,SHEEPSHEAD BAY ROAD,84.27221909098365,15
33,CHURCH AVENUE,84.24828122573277,65
34,FORT HAMILTON PARKWAY,84.18367422252993,16
35,GRAND STREET,84.11891741534333,58
36,5 AVENUE,84.11412008192046,165
37,WASHINGTON AVENUE,84.04036270561585,20
38,ATLANTIC AVE,84.0361524638977,42
39,BEDFORD AVENUE,84.03234453347656,60
40,7 AVENUE,84.00793852695716,60
41,DEKALB AVENUE,84.00361390326194,30
42,UNION STREET,83.99103977338397,19
43,CONEY ISLAND AVENUE,83.98104991830357,47
44,MANHATTAN AVE,83.97751555332033,46
45,AVENUE U,83.94022185562909,97
46,FORT HAMILTON PKWY,83.76412112193363,25
47,3 AVENUE,83.7286703884012,93
48,DEKALB AVE,83.71813865099469,34
49,KNICKERBOCKER AVE,83.68938908527969,24
50,MYRTLE AVENUE,83.67434674135251,57
51,EMMONS AVENUE,83.62631775861215,17
52,NOSTRAND AVENUE,83.62322715035211,94
53,BAY PARKWAY,83.60044279604477,21
54,AVENUE J,83.58827134408715,16
55,PITKIN AVENUE,83.49272979534875,18
56,FULTON ST,83.41222238435975,82
57,7TH AVE,83.3610360108962,63
58,4TH AVE,83.33949104888669,75
59,NEW UTRECHT AVE,83.32761520077122,29
60,COURT ST,83.30680235943393,35
61,5TH AVE,83.20834721441474,144
62,NOSTRAND AVE,83.19410382839203,97
63,MANHATTAN AVENUE,83.1536675792961,43
64,CORTELYOU RD,83.11826636904762,18
65,METROPOLITAN AVENUE,83.10462463356869,19
66,VANDERBILT AVE,83.09020562770563,19
67,WYCKOFF AVE,83.04904413047271,28
68,SMITH STREET,83.04241913155121,50
69,4 AVENUE,82.71142493106836,66
70,FLATBUSH AVE,82.69198146249414,90
71,86 STREET,82.68772873389467,56
72,13 AVENUE,82.64744250720835,29
73,UTICA AVENUE,82.64495921849645,35
74,BATH AVE,82.61432565445352,17
75,RALPH AVENUE,82.46869591782541,22
76,FLATLANDS AVE,82.45796521662082,23
77,MONTAGUE STREET,82.3296525598108,16
78,AVENUE X,82.32538382496669,19
79,VANDERBILT AVENUE,82.30143494823272,15
80,18 AVENUE,82.27234451661806,36
81,MCDONALD AVENUE,81.92462128748078,18
82,8TH AVE,81.67651007995482,75
83,UTICA AVE,81.63437947554317,42
84,KNICKERBOCKER AVENUE,81.6169991679368,16
85,RALPH AVE,81.6160374267893,21
86,WILSON AVE,81.43029728054702,19
87,13TH AVE,81.42831351654881,17
88,PITKIN AVE,81.38042624365892,19
89,DRIGGS AVE,81.24066597653554,16
90,86TH ST,81.1523437005698,68
91,18TH AVE,81.07668986766741,36
92,8 AVENUE,80.70718777530487,52
93,SMITH ST,80.16204143956008,30
