,STREET,SCORE,#Hotels
0,PENN PLZ,95.93628800917958,83
1,PARK AVE,89.58011695313927,61
2,PENN STATION,89.2633978031624,15
3,LAFAYETTE ST,88.76484593837534,20
4,W 58TH ST,88.53918192918192,15
5,PENN PLAZA,88.3376056104132,25
6,W 35TH ST,88.3066750496299,23
7,MACDOUGAL ST,88.1783086083368,22
8,W 42ND ST,88.14515151515151,21
9,9th AVE,87.9971018455229,15
10,EAST    7 STREET,87.68452038838998,17
11,MADISON AVE,87.30708930235201,70
12,LIBERTY ST,87.29778714405494,20
13,ROCKEFELLER PLAZA,86.84915894290894,18
14,FULTON STREET,86.7895740408888,19
15,E 4TH ST,86.74338915053201,16
16,WEST   49 STREET,86.64500397007109,21
17,W 34TH ST,86.64109412171123,16
18,PARK AVENUE,86.59122500405901,53
19,AVENUE OF THE AMERICAS,86.47550628958592,89
20,EAST HOUSTON STREET,86.38381058164893,21
21,SULLIVAN STREET,86.37995696931972,15
22,W 207TH ST,86.36570330710956,16
23,WEST   57 STREET,86.36164767151746,33
24,PARK AVE S,86.17923421829458,25
25,5 AVENUE,86.17260446745233,83
26,WEST   72 STREET,86.05216052562692,20
27,BROOME STREET,85.97917407991905,16
28,WEST   52 STREET,85.9510319140129,21
29,5TH AVE,85.85002609809254,52
30,E 42ND ST,85.8406746031746,15
31,7TH AVE,85.71671917333875,53
32,GREENWICH ST,85.69415849673203,27
33,EAST   10 STREET,85.65250763278371,19
34,WEST  125 STREET,85.547879819342,15
35,EAST    6 STREET,85.54752307010187,17
36,WEST BROADWAY,85.51661657408141,31
37,MADISON AVENUE,85.51208444849651,90
38,WEST   50 STREET,85.44338369007602,19
39,WEST   34 STREET,85.3597110584456,23
40,WEST   55 STREET,85.30734548948357,28
41,7 AVENUE,85.26397490383974,121
42,1ST AVE,85.23729759404851,143
43,LUDLOW STREET,85.21135527734792,18
44,UNIVERSITY PLACE,85.20777030603564,19
45,BROADWAY,85.2049156875695,647
46,AMSTERDAM AVE,85.11850826478877,110
47,WEST   51 STREET,85.1072584863552,23
48,HUDSON STREET,85.08817903316873,53
49,WEST    4 STREET,85.06745363943523,20
50,GREENWICH STREET,85.04012736426638,30
51,PRINCE STREET,85.03764017164752,18
52,EAST   42 STREET,85.02828159542555,19
53,COLUMBUS AVENUE,85.00972835374405,58
54,BLEECKER STREET,84.99392136574929,34
55,W 23RD ST,84.95091380360942,23
56,6 AVENUE,84.94690678116302,60
57,ESSEX ST,84.93457115800865,18
58,CLINTON STREET,84.93231692284324,15
59,WEST   33 STREET,84.91597133467789,15
60,SPRING STREET,84.87894485605823,32
61,EAST   12 STREET,84.85965436637771,16
62,CANAL STREET,84.79705549629278,15
63,ELDRIDGE ST,84.79629102047323,16
64,8TH AVE,84.78205822979145,113
65,WEST   42 STREET,84.67898406940088,35
66,W 40TH ST,84.66822500568738,21
67,W 37TH ST,84.64409722222223,18
68,CHURCH STREET,84.62288357638421,22
69,LEXINGTON AVE,84.61622531092476,125
70,WEST   43 STREET,84.57725821565083,26
71,E 14TH ST,84.55453046027573,27
72,LEXINGTON AVENUE,84.54921004482772,174
73,HUDSON ST,84.52479133220433,29
74,CANAL ST,84.51057936507937,25
75,EAST   14 STREET,84.46248281687895,27
76,PARK AVENUE SOUTH,84.42064454878239,33
77,10TH AVE,84.41610018211716,44
78,W 32ND ST,84.40188423761019,33
79,ST NICHOLAS AVENUE,84.39073092256436,32
80,WEST   45 STREET,84.3740420959754,32
81,2ND AVE,84.23110172662719,191
82,WEST   44 STREET,84.2220247093627,41
83,WEST   54 STREET,84.17112012987013,20
84,ORCHARD ST,84.17027832632634,24
85,SAINT NICHOLAS AVE,84.14975142692535,38
86,WEST   23 STREET,84.14005645861043,32
87,W 47TH ST,83.97419871713974,19
88,3 AVENUE,83.95713460147849,192
89,EAST    9 STREET,83.9141989071375,18
90,AVENUE A,83.91247826407837,59
91,BROOME ST,83.90194751566757,19
92,EAST   52 STREET,83.88370977900215,20
93,LENOX AVE,83.85438048363744,21
94,WEST   14 STREET,83.84425483823397,18
95,6TH AVE,83.81148377668544,47
96,ELDRIDGE STREET,83.80760499500839,16
97,AVENUE C,83.80273155177998,24
98,EAST   53 STREET,83.79119328746813,25
99,PEARL STREET,83.78744186793739,16
100,2 AVENUE,83.77961590022102,195
101,GRAND STREET,83.77032820306191,21
102,MOTT ST,83.76109060382394,30
103,8 AVENUE,83.71043093125473,133
104,ORCHARD STREET,83.69864486158937,20
105,FREDERICK DOUGLASS BLVD,83.67629601533345,22
106,WEST   58 STREET,83.60617555050514,16
107,GREENWICH AVENUE,83.60285068847408,27
108,MACDOUGAL STREET,83.47486010247063,25
109,3RD AVE,83.41213135512231,156
110,WEST   48 STREET,83.38425854616298,19
111,FIRST AVENUE,83.35711845007187,20
112,10 AVENUE,83.35135248049974,66
113,9 AVENUE,83.3149271311837,141
114,RIVINGTON STREET,83.29486903325017,19
115,ST MARKS PLACE,83.29259355791066,37
116,SAINT MARKS PL,83.28837832821087,24
117,WEST   32 STREET,83.24490795059424,23
118,W 14TH ST,83.24434487301804,31
119,WEST   46 STREET,83.17542836847284,41
120,WEST   26 STREET,83.01453875439935,19
121,AVENUE B,82.99908172651114,32
122,THIRD AVENUE,82.98572671261198,22
123,WEST HOUSTON STREET,82.95463845597874,15
124,1 AVENUE,82.94495071347032,149
125,CLINTON ST,82.93348023504274,18
126,BLEECKER ST,82.90647241791429,29
127,CHRISTOPHER STREET,82.88917535867333,17
128,LAFAYETTE STREET,82.76139973944689,21
129,WEST   40 STREET,82.6470559108839,24
130,CARMINE STREET,82.62549993355728,16
131,7 AVENUE SOUTH,82.61961878912938,16
132,W 38TH ST,82.611644841134,17
133,YORK AVENUE,82.54466690846876,29
134,COLUMBUS AVE,82.52974852903913,47
135,WEST   35 STREET,82.13669591490182,15
136,E 23RD ST,82.08792321526312,18
137,AMSTERDAM AVENUE,82.06822327771047,149
138,WEST   56 STREET,82.00629446452271,25
139,LENOX AVENUE,81.90732848713007,26
140,MULBERRY STREET,81.89819221424546,40
141,W 46TH ST,81.88021813826707,33
142,9TH AVE,81.81584402822847,110
143,YORK AVE,81.80398208063713,15
144,ESSEX STREET,81.78741509415951,15
145,WEST   38 STREET,81.73613008254648,15
146,GRAND ST,81.66286554211128,32
147,SECOND AVENUE,81.4847015390073,16
148,CHURCH ST,81.12166086144603,16
149,ALLEN ST,81.10368581821868,17
150,BOWERY,80.80857807290482,41
