,STREET,SCORE,#Hotels
0,LAGUARDIA AIRPORT,89.46038902002138,45
1,ASTORIA BOULEVARD,88.05114593571071,26
2,AUSTIN ST,87.4941846548561,25
3,COLLEGE POINT BLVD,87.21573716280461,34
4,JFK INTERNATIONAL AIRPORT,87.01694350078513,89
5,31 AVENUE,86.94700591177528,19
6,WOODSIDE AVENUE,86.86290418796497,16
7,VERNON BLVD,86.77500277500278,15
8,JACKSON AVE,86.65460317460318,15
9,DITMARS BLVD,86.58150397989108,27
10,SENECA AVE,86.57423439865042,20
11,MERRICK BOULEVARD,86.52060721142706,23
12,GRAND AVE,86.41408785120697,21
13,ROOSEVELT AVENUE,86.23162378356096,195
14,GRAND AVENUE,86.1574138748581,22
15,CROSSBAY BOULEVARD,86.05247797541453,26
16,31 STREET,86.02971055028245,27
17,ROCKAWAY BOULEVARD,85.95149518097534,72
18,SUTPHIN BOULEVARD,85.8438978837085,23
19,31ST AVE,85.71216053391053,20
20,162ND ST,85.70669261294262,17
21,FRESH POND ROAD,85.60223334604915,30
22,HILLSIDE AVE,85.59977061926051,53
23,AUSTIN STREET,85.56101852855598,21
24,BELL BOULEVARD,85.52357414536056,46
25,HORACE HARDING EXPRESSWAY,85.52327274017239,22
26,METROPOLITAN AVENUE,85.4984991635026,47
27,STEINWAY STREET,85.42390508237125,57
28,FRANCIS LEWIS BLVD,85.39586478336479,25
29,SPRINGFIELD BOULEVARD,85.29926635076285,23
30,ROCKAWAY BLVD,85.25116844912013,42
31,MYRTLE AVE,85.25064033189034,31
32,108 STREET,85.16236745136271,18
33,CORONA AVENUE,85.16217846112804,21
34,METROPOLITAN AVE,85.14492582040813,47
35,DITMARS BOULEVARD,84.99012092884342,33
36,43 AVENUE,84.98594942738421,15
37,QUEENS BOULEVARD,84.93737456352946,132
38,23 AVENUE,84.85537225084283,15
39,GREENPOINT AVE,84.84817440511559,25
40,39TH AVE,84.84258672998286,19
41,31ST ST,84.82576048627732,18
42,BELL BLVD,84.80607882889935,27
43,MERRICK BLVD,84.80388940971342,35
44,ASTORIA BLVD,84.77865569531005,34
45,HILLSIDE AVENUE,84.74205040613298,70
46,SUTPHIN BLVD,84.73034203780577,25
47,LEFFERTS BLVD,84.71479425901934,21
48,UNION TURNPIKE,84.63077533513972,56
49,LINDEN BLVD,84.59736672886052,34
50,FRESH POND RD,84.56868866615316,21
51,LINDEN BOULEVARD,84.54666423538912,20
52,PARSONS BOULEVARD,84.41678283454019,24
53,30 AVENUE,84.36120041277552,46
54,FRANCIS LEWIS BOULEVARD,84.2901799948687,33
55,STEINWAY ST,84.14285459614331,41
56,NORTHERN BOULEVARD,84.1015930450435,150
57,MYRTLE AVENUE,84.02859233922526,38
58,39 AVENUE,83.94085252462028,22
59,PRINCE ST,83.93369655497187,27
60,LIBERTY AVENUE,83.86908530001827,54
61,BROADWAY,83.81420699225004,175
62,NORTHERN BLVD,83.76780728784635,160
63,QUEENS BLVD,83.71398044359327,106
64,SPRINGFIELD BLVD,83.62122248186262,19
65,36 AVENUE,83.59964595037374,16
66,UNION TPKE,83.59000521733392,48
67,SENECA AVENUE,83.49283416645059,16
68,JAMAICA AVENUE,83.45369823200897,132
69,36TH AVE,83.33859850424366,15
70,PARSONS BLVD,83.3310422910423,21
71,ROCKAWAY BEACH BLVD,83.32704181783129,20
72,LIBERTY AVE,83.3190425440656,53
73,JUNCTION BOULEVARD,83.25211278655686,20
74,COLLEGE POINT BOULEVARD,83.18336754898407,20
75,LEFFERTS BOULEVARD,83.16540709404777,18
76,101 AVENUE,83.13855507700157,21
77,ROOSEVELT AVE,83.11590346269497,185
78,30TH AVE,83.06193141263284,44
79,MAIN STREET,83.0210252665271,52
80,101ST AVE,82.98289892977392,25
81,WOODHAVEN BOULEVARD,82.90143269780411,15
82,108TH ST,82.84964225589226,16
83,41 AVENUE,82.78866134237758,16
84,37TH AVE,82.75041475658523,72
85,VERNON BOULEVARD,82.72319679185779,25
86,UNION ST,82.56558550876733,22
87,CROSSBAY BLVD,82.4184439328557,17
88,MAIN ST,82.39526600022427,72
89,KISSENA BOULEVARD,82.2154084754083,32
90,ATLANTIC AVENUE,82.0487100171716,19
91,JAMAICA AVE,81.79003435286639,114
92,37 AVENUE,81.66165700203979,55
93,CORONA AVE,81.4678670218709,24
94,UNION STREET,80.90510912072676,15
95,41ST AVE,80.83011670561159,23
96,KISSENA BLVD,80.72790204940205,30
97,JUNCTION BLVD,80.61480574980575,30
98,GUY R BREWER BLVD,79.78176792343459,18
