,STREET,SCORE,#Hotels
0,AMBOY RD,87.31396978021978,23
1,RICHMOND AVE,85.31873334998335,34
2,HYLAN BLVD,84.88554501054502,42
3,ARTHUR KILL ROAD,84.31386058111097,22
4,NEW DORP LANE,84.23458906211084,20
5,BAY STREET,84.09133467934373,29
6,RICHMOND AVENUE,83.68323513997166,54
7,FOREST AVE,83.61793660681793,44
8,VICTORY BLVD,83.39630064380064,22
9,HYLAN BOULEVARD,83.29320994934275,55
10,FOREST AVENUE,83.23944970621561,53
11,AMBOY ROAD,83.05280127585726,40
12,VICTORY BOULEVARD,82.26449590104154,49
13,BAY ST,82.22701615596353,21
