WORD,FREQUENCY
Enron,14493
I,13904
The,7121
company,5938
employees,5234
energy,4426
To,4019
made,3990
would,3837
California,3734
Lay,3464
consumers,3439
Ken,3402
http,3209
Please,3200
We,3043
million,2863
stock,2665
pay,2489
funds,2393
retirement,2328
bills,2298
bankruptcy,2297
millions,2294
donate,2260
declared,2250
year,2196
As,2195
New,2189
ENRON,2182
help,2152
information,2093
know,2079
last,2058
time,2035
well,1998
If,1932
us,1908
many,1891
please,1868
provide,1817
new,1801
This,1786
Subject,1783
like,1743
meeting,1701
business,1685
Houston,1657
York,1558
keep,1520
ECT,1519
also,1505
efforts,1504
And,1485
In,1462
one,1456
money,1425
state,1422
set,1421
Sincerely,1398
call,1385
October,1363
result,1362
largest,1354
Times,1350
plans,1350
may,1347
Communications,1294
A,1290
writing,1263
lost,1260
benefit,1250
Fund,1246
It,1241
dollars,1239
reported,1236
Americans,1231
unable,1224
Employee,1221
utility,1215
PM,1208
lives,1205
crisis,1204
selling,1204
worth,1197
thousands,1194
You,1190
sold,1188
buying,1180
basic,1176
profit,1163
afford,1162
relief,1161
savings,1159
Transition,1150
aggressively,1146
cc,1146
ca,1140
hurt,1139
Indeed,1135
financially,1134
devastated,1134
urge,1130
urging,1129
repair,1126
Compaq,1121
underhanded,1120
netted,1119
wiped,1119
dealings,1118
REACH,1118
bankrupt,1116
pocketbooks,1116
astronomical,1115
could,1113
For,1105
Energy,1074
He,1065
contact,1055
Thank,1023
make,1018
work,1016
market,1007
see,1005
get,1004
next,1004
need,1003
From,980
email,969
Thanks,956
first,953
years,951
people,942
AM,923
President,915
two,904
take,861
want,852
November,850
John,845
said,836
September,833
let,832
week,830
forward,815
attached,813
Board,810
support,807
Dear,803
today,801
Jeff,800
Kenneth,798
questions,794
great,791
day,776
Mark,775
much,763
good,750
companies,749
Rosalee,748
Executive,746
conference,746
message,740
Business,722
issues,721
think,706
hope,703
available,703
following,702
THE,702
look,697
EES,684
use,681
send,668
Monday,666
Sent,659
office,658
go,657
number,656
David,654
Friday,653
power,650
address,641
event,640
attend,632
management,628
Chairman,624
back,623
best,613
program,597
CEO,595
working,590
Message,585
way,584
team,581
future,581
received,579
receive,576
reports,573
India,571
world,563
visit,562
able,555
nbsp,553
Center,552
services,547
Washington,545
believe,543
Director,542
including,539
Michael,538
Texas,534
group,531
opportunity,528
give,527
Fax,526
Institute,526
Internet,523
service,522
find,519
sent,518
World,517
University,516
Committee,515
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,510
plan,509
Thursday,509
list,506
December,506
Our,505
include,504
On,504
Transactions,497
members,497
government,496
possible,496
current,491
phone,490
Today,488
E,488
gas,484
name,482
news,481
report,479
industry,476
issue,476
May,474
place,472
interest,472
All,471
right,469
Joe,468
important,468
request,467
going,467
America,465
oil,465
several,464
Tuesday,463
process,463
International,462
Lilly,460
Forum,460
part,459
There,459
Services,457
contract,457
month,455
My,455
board,454
James,452
free,451
Total,450
still,449
feel,448
Street,448
EnronOnline,448
come,448
public,447
even,446
since,446
site,444
development,441
But,440
technology,439
must,437
AND,434
regarding,434
asked,433
CA,433
financial,431
mailto,430
wanted,428
additional,428
United,427
Meeting,427
customers,424
Management,421
letter,421
American,420
Wednesday,420
Best,419
UN,418
continue,415
might,415
meet,414
Date,413
project,413
better,412
three,409
access,408
comments,407
Bush,406
US,404
Daily,404
Group,403
markets,401
key,398
TO,398
Your,397
response,396
fax,396
Company,395
These,394
already,394
investment,393
family,390
They,388
opportunities,388
end,386
copy,385
price,384
No,382
soon,382
deal,382
S,382
Global,380
appreciate,380
within,380
discuss,379
complete,378
review,377
date,376
join,376
interested,376
home,375
recent,374
Linda,374
What,373
economic,372
together,372
around,371
Do,371
Hi,369
offer,368
corporate,367
provided,367
January,366
enronXgate,366
Bill,366
currently,365
Regards,365
L,364
By,364
policy,361
order,359
past,357
person,357
Mike,355
organization,355
value,354
March,353
position,351
another,351
Jim,350
Rosie,349
open,349
P,348
others,347
really,345
needs,344
Conference,343
system,343
Richard,342
full,342
executive,341
read,341
sure,341
months,340
web,339
change,338
Europe,336
North,336
say,335
With,335
area,334
Steve,333
feedback,332
online,330
talk,326
case,326
campaign,326
done,326
media,325
External,324
Jeffrey,324
addition,324
note,323
National,322
every,321
morning,321
role,321
schedule,321
put,320
line,320
understand,319
News,319
job,319
always,319
based,317
member,316
San,316
dinner,316
leadership,315
changes,315
research,314
personal,314
Trailing,312
file,312
Avg,312
ask,312
per,311
growth,311
global,308
employee,307
Smith,307
success,307
long,307
country,306
April,306
days,305
That,305
top,305
subject,304
Technology,304
Office,303
June,303
recently,303
latest,303
community,302
things,300
discussion,299
OF,299
George,299
experience,299
life,298
Elizabeth,298
share,298
political,297
without,297
reply,297
making,297
systems,296
participate,296
strategy,294
early,293
Department,293
wish,293
Power,291
leading,291
countries,290
given,290
thought,289
J,289
times,289
products,289
meetings,289
See,288
strong,288
regards,287
https,286
events,284
Summary,283
Policy,283
Phone,282
return,281
Attached,281
staff,281
form,280
Independent,280
high,280
Economic,279
Council,278
held,278
Robert,278
major,278
Report,276
Web,275
taking,275
Corporate,275
participation,275
course,274
something,273
provides,273
Products,272
announced,271
prices,271
One,271
become,271
economy,270
details,270
getting,270
whether,270
effort,270
increase,268
TX,268
Yahoo,267
klay,267
Relations,266
Financial,266
However,265
TD,265
Cindy,265
called,265
Governor,264
Chief,264
activities,263
City,262
across,262
Users,262
move,261
Gas,261
told,259
FOR,259
Suite,258
billion,257
Forwarded,256
view,256
outside,256
text,255
IBM,255
potential,255
leaders,254
Corporation,254
Mexico,254
website,254
individuals,254
businesses,252
looking,252
Tom,252
sales,252
Program,251
relationship,251
private,250
via,250
August,250
agenda,250
costs,250
upon,249
either,249
performance,248
General,248
How,247
London,247
weeks,247
IT,247
little,246
T,246
respond,245
bring,245
international,244
due,244
programs,244
decision,244
intended,244
Manager,244
lead,243
Paul,243
risk,243
health,242
level,242
cost,242
partners,242
ago,242
large,242
Vice,241
successful,241
TFA,241
Counterparties,240
God,240
significant,240
used,240
problems,240
Notional,240
hard,240
State,239
Development,239
States,239
click,238
Average,237
tax,237
Secretary,237
along,235
scheduled,235
action,235
Rob,234
Time,234
video,234
security,233
someone,232
building,232
mail,232
book,232
press,231
Service,231
transactions,231
unsubscribe,231
When,231
At,231
final,230
Chamber,229
Commerce,229
afternoon,229
close,229
W,229
senior,228
point,228
follow,228
While,228
Karen,227
After,227
direct,227
providing,227
second,226
likely,226
tell,226
Here,226
C,225
EDT,225
supply,225
four,225
prepared,225
lot,224
Also,224
invite,223
involved,223
House,223
customer,223
computer,222
operations,222
Congress,221
IMAGE,221
SEC,221
found,221
situation,220
thank,220
everyone,220
commercial,220
M,219
check,219
hear,219
yet,219
Foundation,219
Jack,219
left,218
serve,218
Commission,218
Brown,218
candidates,217
Mary,217
content,217
release,217
electricity,216
R,216
real,216
immediately,216
short,215
product,215
Bob,215
South,215
agreement,214
Day,214
Public,214
natural,214
update,212
IMG,212
Asia,212
Tel,212
capital,211
thanks,211
session,211
projects,210
Of,210
required,209
William,209
different,209
paper,209
met,208
using,208
worked,207
communication,207
trade,207
however,207
probably,207
Kevin,207
matter,206
try,206
Rick,206
consider,205
love,205
trading,205
seen,205
contribution,205
demand,205
friends,205
care,204
training,204
School,204
says,204
His,204
results,204
Minister,203
national,203
president,203
question,202
e,202
Liz,202
fact,202
EST,201
DC,201
focus,201
behalf,201
leader,200
small,200
strategic,200
presentation,199
points,199
local,199
Greg,198
Number,198
Information,198
create,198
anything,197
July,197
Indian,197
Alliance,197
discussions,197
YOU,196
night,196
concerns,196
discussed,196
analysts,195
receiving,195
difficult,195
former,195
special,195
needed,194
Re,194
Katherine,194
Good,194
planning,193
distribution,193
never,193
material,193
Now,193
Rebecca,192
among,192
Sherri,192
Value,192
IN,192
executives,192
ever,191
draft,191
assets,191
IS,191
city,190
develop,190
link,190
start,190
least,189
organizations,189
minutes,189
Skilling,189
law,189
solutions,189
Analyst,189
less,188
foreign,188
Since,188
advance,188
advise,188
assistance,188
chance,188
learn,187
earlier,187
AZURIX,187
trying,187
positive,187
problem,187
far,186
February,186
quarter,186
Petroleum,186
Investor,186
TV,186
basis,186
Floor,186
term,186
show,186
Senior,185
survey,185
expect,185
Steven,185
allow,184
proposed,184
Charles,184
software,184
expected,184
Let,184
Oil,184
West,183
Peter,183
Bank,183
throughout,183
present,183
solution,182
Will,182
East,182
necessary,182
attention,182
PCs,182
directly,182
recipient,181
everything,181
pm,181
Just,180
chief,180
includes,180
sell,180
worldwide,179
contributions,178
So,178
servers,178
sector,178
investors,178
included,178
Research,177
critical,177
approach,177
tomorrow,177
credit,177
impact,177
evening,177
anyone,177
air,176
developing,176
resources,176
moving,176
ideas,175
Call,174
pleased,174
Offered,174
Davis,174
suggested,173
Government,173
USA,173
according,173
hearing,173
participants,173
direction,173
Dan,172
Carol,172
entire,172
agreed,171
region,171
rate,171
ability,171
Japan,171
vote,171
analysis,171
An,170
happy,170
remain,170
EBS,170
Is,170
rather,169
build,169
speak,169
data,169
Thomas,168
terms,168
mentioned,168
MENA,168
previous,167
Bruce,167
summer,166
aware,166
later,165
environment,165
percent,165
total,165
yesterday,164
coming,164
Saturday,164
developed,164
Enterprise,164
transaction,164
invitation,164
Leadership,164
add,163
NY,163
options,163
Avenue,163
general,163
period,162
operating,162
charge,162
consideration,162
study,162
example,162
Assistant,162
thoughts,161
More,161
Email,161
firm,161
appropriate,161
commitment,161
dates,160
Gary,160
though,160
prior,160
location,160
Canada,160
control,160
Directors,159
record,159
areas,159
man,159
proposal,159
works,159
page,158
Barbara,158
financing,158
summary,158
specific,158
marketing,157
budget,157
network,157
buy,157
groups,157
numbers,157
federal,157
clear,157
seeing,157
Los,157
indicate,157
Received,156
ProLiant,156
ensure,156
Tony,156
rates,156
party,156
Riordan,156
article,156
big,156
designed,156
idea,156
Many,155
Managing,155
weekend,155
suggest,154
begin,154
six,154
purchase,153
Walker,152
Following,152
amount,152
limited,152
individual,152
First,152
completed,152
subscribe,152
ready,151
White,151
Andrew,151
Wire,151
cash,151
Joseph,151
Stephen,151
helping,150
etc,150
changed,149
Dennis,149
suggestions,149
enough,149
brief,149
officials,149
late,149
thing,148
away,148
Federal,148
simply,148
hesitate,148
understanding,148
Frank,148
positions,147
reasons,147
keynote,147
stay,147
fully,147
confidential,147
longer,147
environmental,147
lines,147
annual,147
purpose,147
follows,146
story,146
responsible,146
answer,146
stories,146
talking,146
technical,146
Trade,146
Metals,146
increased,145
giving,145
enjoy,145
various,145
Partnership,145
side,145
reach,145
informed,144
Journal,144
Why,144
Sharon,144
Ann,144
interview,144
production,144
efficiency,144
approximately,144
Dynegy,144
Security,143
registration,143
sending,143
Francisco,143
fund,143
Administration,143
improve,143
Howard,142
old,142
PC,142
reason,142
application,142
LNG,142
children,142
facilities,142
heard,142
Health,141
partnership,141
Click,141
items,141
Express,141
Corzine,141
easy,141
ON,141
kind,141
got,141
Authority,140
track,140
FW,140
register,140
FROM,140
NEWS,140
partner,139
turn,139
signed,139
Affairs,139
requested,139
came,139
live,138
Cc,138
related,138
five,138
fine,138
strategies,138
took,138
account,138
remember,138
br,137
Rockets,137
approval,137
word,137
AEI,137
run,137
capacity,137
Susan,136
Brookings,136
VP,136
rights,136
existing,136
Senator,136
Larry,136
Economy,136
newsletter,136
established,136
relationships,136
history,135
leave,135
school,135
water,135
agree,134
Association,134
info,134
Pinkney,134
Sanjay,134
Angeles,134
utilities,134
Austin,134
status,134
quality,133
Jones,133
perhaps,133
copies,133
taken,133
availability,133
benefits,133
locations,132
especially,132
independent,132
participant,132
calls,132
administration,132
China,132
created,131
RFF,131
continued,131
equity,131
G,131
developments,130
Year,130
friend,130
Sales,130
third,130
officer,130
running,130
manage,130
Media,129
clearly,129
speakers,129
takes,129
Get,128
front,128
hours,128
Resources,128
contracts,128
Can,128
Law,128
responsibility,128
progress,128
input,128
decided,127
Sachs,127
N,127
HP,127
NW,127
initiative,127
encourage,127
education,127
Hello,127
offers,127
NOT,127
Scott,127
Lee,127
named,127
respect,126
offered,126
chairman,126
rules,126
Goldman,125
Limited,125
confirm,125
Ben,125
Future,125
Arena,125
removed,125
truly,125
views,125
Jennifer,125
greater,124
ways,124
consumer,124
hold,124
Life,124
house,124
Africa,124
THIS,124
host,123
spoke,123
AlphaServer,123
Rice,123
Beat,122
generation,122
Mr,122
sheet,122
joint,122
UK,122
Name,122
space,121
Nancy,121
active,121
funding,121
talked,121
Love,121
head,121
floor,121
B,121
particularly,121
Baker,121
GE,121
panel,121
communications,120
legal,120
Miller,120
willing,120
Fleming,120
requests,120
speech,120
standards,120
Hotel,120
earnings,120
looks,120
Way,120
exchange,120
K,120
focused,120
Tori,120
version,119
Broadband,119
FREE,119
internal,119
contained,119
employment,119
happen,119
assist,119
pass,119
growing,119
Place,119
Plan,119
weekly,119
She,119
Building,119
bill,119
Stanley,118
sale,118
field,118
heart,118
higher,118
Portland,118
quick,118
series,118
ahead,118
During,118
goal,117
background,117
Dell,117
attendance,117
RE,117
makes,117
room,117
Weekly,117
Again,117
assessment,117
Sue,117
TR,117
Dr,117
determine,116
mind,116
Each,116
write,116
enter,116
win,116
director,116
Mayor,116
supporting,116
AT,115
extremely,115
trip,115
reduce,115
certainly,115
Microsoft,115
Free,115
Sunday,115
Project,115
Tim,115
located,115
offices,115
Environmental,115
