WORD,FREQUENCY
I,12370
Enron,5114
The,4480
Jeff,3933
would,2779
We,2623
To,2621
IMAGE,2278
time,2208
PM,2119
information,1956
If,1913
http,1905
know,1850
Subject,1773
Skilling,1703
ENRON,1666
Please,1651
one,1582
new,1582
This,1549
like,1524
please,1523
Houston,1428
AM,1416
It,1393
company,1372
message,1344
business,1309
us,1306
A,1267
years,1210
also,1208
Thanks,1197
call,1189
get,1179
cc,1176
may,1128
ECT,1120
In,1108
see,1056
meeting,1054
market,1013
From,998
year,998
next,992
forward,987
last,970
May,954
well,926
No,923
use,922
let,906
work,902
could,900
Sherri,890
email,883
Mark,875
You,872
Your,865
week,863
John,853
As,844
make,839
Energy,830
great,821
EPS,815
need,813
Thank,789
Communications,781
right,775
look,763
future,749
EES,744
energy,742
He,740
thru,727
two,726
Sat,723
contact,723
take,716
much,714
Regards,712
send,708
first,692
New,682
companies,678
London,675
Dear,667
said,667
David,665
way,663
today,660
October,653
opportunity,653
day,653
help,652
back,651
group,651
think,649
CEO,643
President,643
Sent,638
believe,637
questions,617
subject,612
June,607
many,604
Yahoo,601
event,598
find,589
power,585
still,584
Monday,583
attached,579
Friday,572
For,572
team,570
people,562
At,561
Sera,557
Paul,556
going,552
following,550
available,548
fax,543
Scheduled,541
trading,536
All,534
want,532
Chairman,531
Services,530
good,527
management,521
list,520
story,518
Outages,516
CT,514
Message,513
best,510
current,509
Business,503
ago,503
left,501
address,496
report,495
BETA,489
Thursday,487
Our,486
Center,484
PT,477
interest,471
Executive,471
sure,466
growth,465
services,464
Brothers,464
made,464
employees,464
industry,463
million,462
everyone,462
better,459
meet,459
go,458
note,458
including,454
There,453
provide,452
working,452
California,450
q,448
Groups,446
program,445
offer,444
number,443
plan,441
far,440
Bill,439
conference,434
price,430
Time,430
asked,429
continue,428
Fri,427
come,426
really,425
Company,425
September,425
members,422
YPO,420
give,420
Assistant,419
Management,417
days,416
Buy,414
free,411
hope,408
place,408
interested,408
Club,406
process,405
Texas,405
received,405
expected,404
several,403
news,400
sent,400
even,399
April,398
Re,398
technology,396
regarding,393
Ken,392
part,391
service,391
Michael,390
wanted,389
date,389
Kevin,388
review,387
night,387
additional,387
My,386
Group,385
Price,384
experience,383
E,383
support,381
stock,380
phone,378
office,377
July,377
change,377
able,376
